claim_id,kind,source_document,source_passage_sha256,claim,artifact,artifact_sha256,selector,rendering,context,evidence_status,supporting_artifacts,test,revision_test,correction_test,current_test,prior_claim_id
source_claim_0011,source_claim,README.md,06a787eb0519fd6655a94b66d6b93eccf03cbc25e099e2597b8f5247da6deaf1,"Partición de calendario: 2026-08-01, fijada el 2026-09-07.",docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,"Source passage 10 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0011
source_claim_0012,source_claim,README.md,6e9a0012132ec7c7aca219ed4c81f1bb24d5fe4a5b59c5e5c393acdb6ca4d37f,Entrenamiento expansivo sólo con el pasado; 60 sesiones de calentamiento; selección sobre las últimas diez sesiones de entrenamiento; purga/embargo de 60 minutos.,docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,"Source passage 11 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,"{""artifacts/rp4_closeout_audit/REPORT.md"": ""93ba2ae3f561d1e88bc2706d5cede0fcd504c4c5790453cb2dc0a32f5c11c412""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0012
source_claim_0013,source_claim,README.md,2868d546495201d3283bc1dcdc0fa8076aa22a7557e21fa01a4323d8846f6801,"Primaria v2–v4: 419 sesiones, 160.832 orígenes.",artifacts/rp4_closeout_figures/comparison_v1_v4.csv,0d9554e1fc5151b4eb7b149b7bc529bbdfee1d12e92883163087aedc6942a9ba,[],literal,"Source passage 12 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0013
source_claim_0014,source_claim,README.md,884b7f56dba6ba7225d23da0b83be153e11b97ff5a7e335f2c3612ac19c9956b,"Ventana final: 25 sesiones, 9.750 orígenes.",artifacts/rp4_closeout_figures/comparison_v1_v4.csv,0d9554e1fc5151b4eb7b149b7bc529bbdfee1d12e92883163087aedc6942a9ba,[],literal,"Source passage 13 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0014
source_claim_0015,source_claim,README.md,d63b75d5040c75d0eee2c887c23ae77933a635e16032cd64d1fa9e8bcc1bd7c2,Cada celda muestra **reducción porcentual de QLIKE (p)**.,docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,"Source passage 14 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,"{""artifacts/rp4_closeout_figures/comparison_v1_v4.csv"": ""0d9554e1fc5151b4eb7b149b7bc529bbdfee1d12e92883163087aedc6942a9ba""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0015
source_claim_0016,source_claim,README.md,62ac33ba257399e2231253ad0ee84391b17072108fd71d3e4ff9d937af370795,"En v1/v2 se usa p bilateral con Holm; en v3/v4, H1→H2 unilateral al 5 % por familia.",artifacts/rp4_closeout_figures/comparison_v1_v4.csv,0d9554e1fc5151b4eb7b149b7bc529bbdfee1d12e92883163087aedc6942a9ba,[],literal,"Source passage 15 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,"{""docs/rp4/specification_v4.md"": ""443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0016
source_claim_0017,source_claim,README.md,71654f3bf87cbfb74446f0450862eaa6d169d7343e3b82bb0d6934014fbf7109,H2 sólo se abre cuando H1 rechaza.,docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,"Source passage 16 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,"{""artifacts/rp4_v4_b4/primary_statistics.csv"": ""5c215fc38344839ecedea7b27f69efcb85fbefea84f1367d06229cb7407902d4""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0017
source_claim_0018,source_claim,README.md,3b75d059409fbbdf6548aaf43c6d0c2acd70774562720f6984098e684c319fb7,No se corrige la búsqueda entre versiones.,docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,"Source passage 17 (zero based); aggregate evidence, specification or saved report.",scope_or_limitation,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0018
source_claim_0019,source_claim,README.md,d7bb60aba8fc35e26d57b8d213b698713ceea9c7b5b9ad3f15f1469bf3fcdec2,| Versión / objetivo | Lineal B1/B0 | Lineal B2/B1 | Árboles B1/B0 | Árboles B2/B1 | Sesiones |,artifacts/rp4_closeout_figures/comparison_v1_v4.csv,0d9554e1fc5151b4eb7b149b7bc529bbdfee1d12e92883163087aedc6942a9ba,[],literal,"Source passage 18 (zero based); aggregate evidence, specification or saved report.",navigation_only,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0019
source_claim_0020,source_claim,README.md,60267eda15e2b3766fb0f91375a334d4aa01d5fa0bd5777293353ecaefb9b371,"| v1 · RV30 | +0,290 % (1,000) | −167.448,32 % (1,000) | +1,204 % (0,4724) | −0,073 % (1,000) | 418 |",artifacts/rp4_closeout_figures/comparison_v1_v4.csv,0d9554e1fc5151b4eb7b149b7bc529bbdfee1d12e92883163087aedc6942a9ba,[],literal,"Source passage 19 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0020
source_claim_0021,source_claim,README.md,c317324d4cdc81eac0fc58d1f785ce57bfec7f742c74de0698d0d47bcdd6022d,"| v2 · RV30 | +1,715 % (0,1842) | −8,714 % (0,3752) | +2,091 % (0,0264) | −0,063 % (0,8858) | 419 |",artifacts/rp4_closeout_figures/comparison_v1_v4.csv,0d9554e1fc5151b4eb7b149b7bc529bbdfee1d12e92883163087aedc6942a9ba,[],literal,"Source passage 20 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0021
source_claim_0022,source_claim,README.md,138c408158e153c3a8a1393fac83885a9bce01f59b00639c975c9fdd88e29108,"| v3 · RV30 | +1,729 % (0,0439) | +0,554 % (0,0525) | +2,091 % (0,0053) | −0,159 % (0,6631) | 419 |",artifacts/rp4_v4_b4/primary_statistics.csv,5c215fc38344839ecedea7b27f69efcb85fbefea84f1367d06229cb7407902d4,[],literal,"Source passage 21 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,"{""artifacts/rp4_closeout_figures/comparison_v1_v4.csv"": ""0d9554e1fc5151b4eb7b149b7bc529bbdfee1d12e92883163087aedc6942a9ba""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0022
source_claim_0023,source_claim,README.md,94a67b14226c175e2bc88a940ab5a127af6933895ab15d468e0b53bf2b9bad49,"| v4 · RV15, primario | +0,880 % (0,0390) | +0,623 % (0,0032) | +1,170 % (0,0135) | −0,115 % (0,6280) | 419 |",artifacts/rp4_v4_b4/primary_statistics.csv,5c215fc38344839ecedea7b27f69efcb85fbefea84f1367d06229cb7407902d4,[],literal,"Source passage 22 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,"{""artifacts/rp4_closeout_figures/comparison_v1_v4.csv"": ""0d9554e1fc5151b4eb7b149b7bc529bbdfee1d12e92883163087aedc6942a9ba""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0023
source_claim_0024,source_claim,README.md,0ac6e4db5b1b2a0c12f62d281ed240830d4d44b59d9d341b554d8e47cc1143f0,"| v4 · RV5, secundario | +0,377 % (0,0092) | +0,256 % (0,0172) | +0,536 % (0,0608) | +0,160 % (no abierta; nominal 0,1927) | 419 |",artifacts/rp4_v4_b4/primary_statistics.csv,5c215fc38344839ecedea7b27f69efcb85fbefea84f1367d06229cb7407902d4,[],literal,"Source passage 23 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,"{""artifacts/rp4_closeout_figures/comparison_v1_v4.csv"": ""0d9554e1fc5151b4eb7b149b7bc529bbdfee1d12e92883163087aedc6942a9ba""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0024
source_claim_0025,source_claim,README.md,436b423544f45f9c1b808b3d8f328fcdefb1a44a03c2e006ecaa4b6a02abb887,"El flujo lineal es positivo en los tres bloques de ambos horizontes; por activo, en seis de seis a 15 minutos y **tres de seis a 5 minutos**.",artifacts/rp4_v4_b4/robustness.csv,09925f9cefe4fcf2c19f4a915ad2994c125bbafdb94dfd332cc821ce1f180acb,[],literal,"Source passage 24 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0025
source_claim_0026,source_claim,README.md,53c4491ff10da264923621bf0e5ba956051b4ef497400974834c0ca44a88f963,"En árboles, la mediana pareada de B2 es positiva a 15/5 minutos: p bilateral 0,0435/0,0038 y Holm 0,0870/0,0096; no sustituye la media primaria.",artifacts/rp4_v4_b4/distribution_secondary.csv,62312356720ac370fe3928eb5212db5a99ad7aa63f8ce4fe568ae149faed96cb,[],literal,"Source passage 25 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0026
source_claim_0027,source_claim,README.md,36912fd7e38ed704754baa895e524d56834c5146aa97edf8a11a217741156dec,La ventana final de 25 sesiones no confirma la secuencia completa.,artifacts/rp4_v4_b4/primary_statistics.csv,5c215fc38344839ecedea7b27f69efcb85fbefea84f1367d06229cb7407902d4,[],literal,"Source passage 26 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0027
source_claim_0028,source_claim,README.md,7f0c46996e8e5ad9c5acef1a905d2069a6fe3c5668b1d73a9434198846ff171b,"El programa termina en v4, sin v5.",docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,"Source passage 27 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0028
source_claim_0029,source_claim,README.md,3c2296a88539e1c7e8acbcfd658b919f1e66d802b0b61672bbe26e9d6008aaea,Resultado final y límites · Informe completo con ambas ventanas · Anexo de 40 paneles sin recorte · Datos agregados de las figuras,artifacts/rp4_closeout_figures/comparison_v1_v4.csv,0d9554e1fc5151b4eb7b149b7bc529bbdfee1d12e92883163087aedc6942a9ba,[],literal,"Source passage 28 (zero based); aggregate evidence, specification or saved report.",navigation_only,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0029
source_claim_0030,source_claim,README.md,bf426ca33d3458b813e5f3b685896310cf90ec3afff9eefa2c7d9b4e19cc565a,"Verificación del informe contra los resultados guardados, sin datos licenciados, entrenamiento ni inferencia nueva:",artifacts/rp4_closeout_code/check_final.py,6cd799270fc602acf2f5a17bb10178674b7c45981a5fd3f5882408b3bea49c23,[],literal,"Source passage 29 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0030
source_claim_0031,source_claim,README.md,c9ba16c582145da3179f4872ccee8bf03c9802cbc8dfeed59db03cf391531c57,Requiere el entorno Python 3.12 instalado con las dependencias fijadas en uv.lock.,artifacts/rp4_v4_a2/evaluation_release_rv15.json,7b5499579a66a468f040966d22824501ec1c65c29fefb848b40366bfd1f2351a,[],literal,"Source passage 30 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,"{""docs/rp4/RUNBOOK.md"": ""5890e0f3d68d34be9cb40575d6c1905da90dfd0574e00e1eeb7b9295d16ece31""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0031
source_claim_0032,source_claim,README.md,ee61ddd825779278f32e3a8ca564ea01c555dcadb4defa4adcae3c407a14bd12,"El runbook separa verificación pública, ejecuciones históricas y reproducción con licencia y originales.",docs/rp4/RUNBOOK.md,5890e0f3d68d34be9cb40575d6c1905da90dfd0574e00e1eeb7b9295d16ece31,[],literal,"Source passage 31 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0032
source_claim_0033,source_claim,README.md,1fb6a6c5ccb775c9e175dcdb2c06f1b0bff7f00b9ea7f39831003d63f87184af,No se declara una nueva ejecución completa ni CI remota aprobada.,README.md,f5f4ca20883d44cbece6e3293aa17868881812a0b6d976c7f51c42f53422ac6e,[],literal,Preserved source wording; this is not current publication or remote CI evidence. No remote re-audit.,historical_operational_snapshot_not_current,"{""docs/rp4/RUNBOOK.md"": ""5890e0f3d68d34be9cb40575d6c1905da90dfd0574e00e1eeb7b9295d16ece31""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0033
source_claim_0034,source_claim,README.md,85e2b2f3dbc1de43c352e339a79a23fe087682a4599f6a78e804f715d479bc42,La proyección de publicación puede tener bytes distintos: sus hashes no se presentan como los del freeze.,docs/rp4/publication_projection_v1.md,98bd85355f3fe6ce8cbf155f232c78405e542ba2ad11eeb6f954f1bdf6114976,[],literal,"Source passage 33 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0034
source_claim_0035,source_claim,README.md,12a02c23f0220f6b460a65557a7d8e78977ba0ab367bec7c9a5c0428ff4613f6,Las fuentes de proveedores y los derivados por origen no se redistribuyen.,data/DATA_ACCESS.md,aaa68a4b94af5bfa7059b11c18f400b680ec322edb641c382e56b6e3d034e66a,[],literal,"Source passage 34 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0035
source_claim_0036,source_claim,README.md,fc3eca0016816aefedc66e53b8d2fc8bc1d2d2e1bff198aeea0b1460ce3c34a8,La licencia del código no concede derechos sobre esos datos. Acceso a datos · Estado generado · Estado legible por máquina.,data/DATA_ACCESS.md,aaa68a4b94af5bfa7059b11c18f400b680ec322edb641c382e56b6e3d034e66a,[],literal,"Source passage 35 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0036
source_claim_0037,source_claim,README.md,e517a8b7cd1ac532a2581c3db145ed6a17eb3efd41695c40081560cce2ab2ff1,Cuarta evaluación de las mismas ventanas: v1 inicial; v2 corrige cobertura y estabilidad; v3 añade desbalance y ventanas vacías; v4 cambia el horizonte bajo un antecedente condicional.,docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,"Source passage 36 (zero based); aggregate evidence, specification or saved report.",stored_design_or_result,"{""artifacts/rp4_closeout_figures/comparison_v1_v4.csv"": ""0d9554e1fc5151b4eb7b149b7bc529bbdfee1d12e92883163087aedc6942a9ba""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0037
source_claim_0038,source_claim,README.md,d18b425b4bda137622651009c9271ab8f9d7c74cc39ae1421e16e48e712ce8e0,"RV5 es secundario, no una réplica independiente.",docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,"Source passage 37 (zero based); aggregate evidence, specification or saved report.",scope_or_limitation,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0038
source_claim_0039,source_claim,README.md,c320cdd1ab7e69a8523b5e7f3936e10b80152b94e3181f47f195e1f1e5ec4fb2,La ventana 20 de julio a 28 de agosto fue leída una vez por el puente de Fase 8 con otra especificación.,docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,Prior access is disclosed by the existing specification; the earlier study was not reopened.,prior_access_declared_not_reaudited,{},tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0039
source_claim_0040,source_claim,README.md,bd79ea3f24084a79922127344e35f3425aa0b1ab271b7b7f7f938bc0e0871aa9,"El PIT es proxy de tiempo fuente a 120 s, como en la literatura; no demuestra recepción histórica por el cliente.",docs/rp4/specification_v4.md,443a0c2628d80f82b0f1a90a7ce7f7c3a8caac38a505c8d12366c7c1c81d6ee9,[],literal,"Source passage 39 (zero based); aggregate evidence, specification or saved report.",scope_or_limitation,"{""artifacts/rp4_market_audit/REPORT.md"": ""74c6d6e5aaa43c51e73b0cacc8bde6a569aa1093686bafd5c10973d1abe3dcab""}",tests/contract/test_rp4_defense_package.py,tests/contract/test_rp4_defense_additions.py,tests/contract/test_rp4_defense_audit_corrections.py,tests/contract/test_rp4_defense_examiner_revision.py,source_claim_0040
